Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade,Grade_Numeric
STUDENT1,19-22,Male,Other,50%,Yes,No,Private,0,2,1,1,0,0,AA,8
STUDENT2,19-22,Male,Other,50%,Yes,No,Private,0,2,1,0,1,1,AA,8
STUDENT3,19-22,Male,State,50%,No,No,Private,2,0,0,0,0,1,AA,8
STUDENT4,18,Female,Private,50%,Yes,No,Bus,2,2,0,1,0,0,AA,8
STUDENT5,19-22,Male,Private,50%,No,No,Bus,12,2,1,0,1,1,AA,8
STUDENT6,19-22,Male,State,50%,No,No,Private,2,2,1,0,1,1,BA,7
STUDENT7,18,Male,State,75%,No,No,Private,0,2,0,1,1,1,CC,4
STUDENT8,18,Female,State,50%,Yes,Yes,Bus,2,1,0,1,1,1,BA,7
STUDENT9,19-22,Female,Other,50%,No,Yes,Bus,0,2,0,0,0,1,CC,4
STUDENT10,19-22,Female,State,50%,No,No,Bus,12,0,0,1,0,0,Fail,0
STUDENT11,18,Female,Private,50%,No,No,Private,12,1,0,0,0,1,BA,7
STUDENT12,18,Female,Private,75%,Yes,Yes,Private,8,1,0,1,0,1,Fail,0
STUDENT13,18,Female,Private,75%,No,No,Private,0,2,1,0,0,0,Fail,0
STUDENT14,19-22,Female,State,100%,No,No,Private,0,2,1,0,0,1,AA,8
STUDENT15,23-27,Male,State,75%,Yes,Yes,Private,12,0,0,0,1,1,BA,7
STUDENT16,19-22,Male,State,50%,No,No,Private,0,2,0,1,0,1,BA,7
STUDENT17,18,Female,State,100%,No,Yes,Private,0,2,1,0,0,0,AA,8
STUDENT18,19-22,Male,State,50%,No,No,Private,0,2,1,0,0,1,BA,7
STUDENT19,18,Female,State,75%,No,No,Private,12,2,1,0,0,0,BA,7
STUDENT20,18,Male,Private,50%,No,No,Bus,2,1,0,0,1,0,BB,6
STUDENT21,18,Male,State,100%,Yes,No,Bus,0,0,0,0,1,0,AA,8
STUDENT22,18,Male,State,100%,No,No,Bus,0,0,0,0,0,0,AA,8
STUDENT23,19-22,Male,State,50%,Yes,No,Bus,0,2,1,1,1,0,BB,6
STUDENT24,23-27,Male,State,25%,Yes,Yes,Private,12,2,1,1,0,0,AA,8
STUDENT25,19-22,Male,State,50%,No,No,Private,2,2,1,0,1,0,BA,7
STUDENT26,19-22,Male,State,50%,No,No,Bus,0,2,0,1,0,0,BB,6
STUDENT27,19-22,Male,State,50%,No,Yes,Bus,0,2,1,1,0,0,AA,8
STUDENT28,18,Male,Private,50%,Yes,No,Private,0,2,1,1,1,0,AA,8
STUDENT29,23-27,Male,State,50%,No,No,Bus,0,0,0,0,0,0,BB,6
STUDENT30,19-22,Male,Other,75%,No,No,Private,0,0,0,0,1,1,CC,4
STUDENT31,19-22,Male,State,100%,Yes,Yes,Bus,0,2,0,1,1,0,CC,4
STUDENT32,23-27,Male,State,50%,Yes,No,Private,0,2,0,1,0,0,BB,6
STUDENT33,19-22,Female,State,50%,No,No,Private,2,2,1,0,0,1,AA,8
STUDENT34,19-22,Female,State,50%,Yes,No,Bus,0,2,1,1,0,0,BA,7
STUDENT35,18,Male,Private,50%,No,No,Bus,2,2,1,0,1,0,BA,7
STUDENT36,18,Male,Private,75%,No,No,Private,12,2,1,1,0,0,AA,8
STUDENT37,19-22,Male,Other,75%,Yes,No,Bus,12,2,1,1,1,1,BA,7
STUDENT38,19-22,Male,State,50%,Yes,Yes,Bus,2,1,0,0,1,1,AA,8
STUDENT39,19-22,Male,State,100%,No,No,Private,0,2,1,0,1,1,BA,7
STUDENT40,19-22,Female,State,50%,No,No,Bus,0,2,0,1,1,1,AA,8
STUDENT41,18,Male,Private,50%,No,No,Private,2,2,1,0,1,1,AA,8
STUDENT42,23-27,Male,State,50%,Yes,No,Private,2,2,0,1,0,1,AA,8
STUDENT43,19-22,Male,State,50%,No,Yes,Private,0,0,0,1,0,1,AA,8
STUDENT44,18,Male,State,50%,No,No,Bus,0,2,1,0,1,0,CB,5
STUDENT45,19-22,Male,Other,50%,No,No,Bus,0,2,1,1,1,1,AA,8
STUDENT46,18,Male,State,50%,No,No,Bus,8,2,1,0,1,0,BB,6
STUDENT47,19-22,Male,State,50%,No,No,Bus,0,2,1,1,0,0,CC,4
STUDENT48,19-22,Male,State,50%,No,No,Bus,0,2,0,1,1,1,BB,6
STUDENT49,18,Male,State,50%,No,Yes,Bus,0,2,0,0,1,0,AA,8
STUDENT50,18,Male,Private,75%,No,No,Private,2,0,1,0,1,1,BA,7
STUDENT51,19-22,Male,State,50%,No,No,Bus,2,1,1,1,1,1,AA,8
STUDENT52,19-22,Female,Other,50%,Yes,Yes,Private,0,2,1,1,0,0,CB,5
STUDENT53,19-22,Female,State,50%,Yes,No,Private,2,2,1,1,1,0,AA,8
STUDENT54,19-22,Female,State,50%,No,Yes,Private,2,2,1,1,1,0,CC,4
STUDENT55,19-22,Male,State,50%,No,No,Private,12,0,0,1,0,1,BB,6
STUDENT56,23-27,Male,State,50%,Yes,No,Bus,8,2,0,1,1,0,BB,6
STUDENT57,19-22,Male,State,50%,No,Yes,Private,0,2,1,1,1,0,CC,4
STUDENT58,19-22,Male,State,50%,Yes,Yes,Private,0,2,1,1,0,0,CB,5
STUDENT59,23-27,Male,State,50%,No,No,Bus,12,2,1,1,1,0,BB,6
STUDENT60,19-22,Male,State,50%,No,Yes,Bus,0,2,1,1,0,0,CC,4
STUDENT61,19-22,Female,State,50%,No,No,Private,12,1,1,1,1,0,BA,7
STUDENT62,18,Male,Other,50%,No,Yes,Private,2,2,0,1,1,0,CC,4
STUDENT63,19-22,Male,State,50%,No,No,Private,0,0,0,0,1,1,BB,6
STUDENT64,19-22,Male,State,75%,No,No,Bus,2,2,1,1,1,0,CC,4
STUDENT65,19-22,Male,Other,100%,No,No,Private,0,2,1,0,0,1,BB,6
STUDENT66,18,Male,State,50%,No,No,Bus,12,2,1,0,0,0,BA,7
STUDENT67,19-22,Male,State,50%,No,No,Bus,0,2,1,0,0,0,CC,4
STUDENT68,19-22,Male,Other,50%,Yes,Yes,Private,12,2,0,0,0,0,AA,8
STUDENT69,19-22,Female,State,75%,Yes,No,Private,0,2,1,0,1,0,CC,4
STUDENT70,19-22,Female,State,75%,No,No,Bus,0,2,1,0,0,1,CC,4
STUDENT71,18,Male,State,75%,No,Yes,Bus,0,2,1,1,1,1,DD,2
STUDENT72,18,Female,Other,75%,No,No,Private,0,2,0,1,1,0,DC,3
STUDENT73,18,Male,State,50%,No,Yes,Bus,0,2,0,1,1,1,DC,3
STUDENT74,19-22,Male,State,75%,No,No,Private,0,2,0,1,1,0,DC,3
STUDENT75,18,Male,State,75%,No,No,Private,0,2,1,0,0,0,DD,2
STUDENT76,18,Male,State,75%,No,Yes,Private,0,2,0,1,0,0,DD,2
STUDENT77,19-22,Male,Private,25%,No,Yes,Private,2,2,1,1,0,0,CB,5
STUDENT78,18,Male,Private,25%,No,No,Bus,2,1,0,1,0,1,DD,2
STUDENT79,19-22,Female,State,75%,Yes,Yes,Private,0,2,1,1,1,0,CB,5
STUDENT80,19-22,Male,State,75%,No,No,Private,0,2,1,1,1,0,BB,6
STUDENT81,19-22,Female,State,50%,Yes,No,Bus,0,1,1,1,1,1,CB,5
STUDENT82,23-27,Male,State,50%,Yes,No,Private,0,2,0,1,0,0,BB,6
STUDENT83,19-22,Male,State,75%,Yes,No,Bus,2,2,1,0,1,0,DD,2
STUDENT84,19-22,Male,Other,50%,No,No,Private,12,2,1,1,0,1,DD,2
STUDENT85,23-27,Male,Other,50%,Yes,No,Bus,12,2,0,1,0,0,DD,2
STUDENT86,18,Male,State,100%,No,No,Private,2,2,1,1,1,0,CB,5
STUDENT87,19-22,Male,State,75%,No,No,Private,0,0,0,0,1,1,CC,4
STUDENT88,19-22,Male,State,50%,No,Yes,Private,2,2,1,0,0,1,DC,3
STUDENT89,18,Male,State,75%,No,Yes,Bus,0,2,1,1,0,1,DC,3
STUDENT90,19-22,Male,State,50%,No,No,Private,0,2,1,0,0,0,DC,3
STUDENT91,19-22,Female,State,50%,No,Yes,Bus,0,1,0,0,1,1,DC,3
STUDENT92,19-22,Male,State,100%,Yes,Yes,Bus,0,2,0,1,1,0,DC,3
STUDENT93,18,Male,State,50%,No,No,Private,0,2,1,0,0,0,DD,2
STUDENT94,18,Male,State,,Yes,No,Bus,0,2,0,1,0,0,CB,5
STUDENT95,19-22,Male,State,50%,No,No,Bus,0,2,1,0,0,0,DC,3
STUDENT96,18,Male,Other,100%,Yes,Yes,Bus,0,1,0,0,0,1,CC,4
STUDENT97,18,Male,State,75%,No,Yes,Bus,0,1,0,0,0,0,DD,2
STUDENT98,18,Male,State,75%,Yes,No,Private,0,2,0,0,1,0,DC,3
STUDENT99,18,Male,State,75%,No,Yes,Private,0,0,0,0,0,1,DD,2
STUDENT100,19-22,Male,State,50%,No,No,Private,0,0,0,0,0,1,DD,2
STUDENT101,18,Male,State,75%,No,No,Private,0,1,0,1,1,1,DC,3
STUDENT102,18,Male,State,75%,No,No,Bus,2,2,0,0,1,1,DD,2
STUDENT103,18,Male,State,50%,No,No,Bus,0,2,0,0,1,1,DD,2
STUDENT104,18,Male,Private,75%,No,No,Bus,12,2,0,1,1,0,DD,2
STUDENT105,18,Female,State,50%,No,No,Private,0,1,0,1,0,1,BB,6
STUDENT106,18,Male,State,75%,Yes,Yes,Private,0,2,1,0,0,0,DD,2
STUDENT107,18,Male,State,75%,No,Yes,Private,0,2,0,0,0,1,DD,2
STUDENT108,18,Female,State,75%,Yes,Yes,Private,0,2,0,1,1,0,DC,3
STUDENT109,19-22,Female,Private,100%,No,Yes,Private,2,1,1,1,0,1,DC,3
STUDENT110,18,Male,Private,50%,No,Yes,Bus,0,1,0,1,0,1,DD,2
